id,stockid_i,stockid_j,date1,time1,lnA_B,lnA_B_sub,lnA_BsubC,lnA_BaddC,close_1,close_2,pearson_,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
102,GBPCAD,GBPSGD,2015.12.01,01:30,-0.0552223851810868,0.00018795495401224827,-0.0549398035131049,-0.05550488701922751,2.00949,2.12358,0.5345324566869061,0.653387802071,-7.690216947775497e-07,0.00047840825557477916,100,0.0006,0.9,0,0,0,0
103,GBPCAD,GBPSGD,2015.12.01,01:45,-0.054689273024303375,0.0005331121567834218,-0.05440657019492112,-0.054971895955382766,2.0097,2.12267,0.5354793482576677,0.867309773708,5.777579995536186e-09,0.00047865291731916636,100,0.0006,0.9,0,0,0,0
104,GBPCAD,GBPSGD,2015.12.01,02:00,-0.05495473278567653,-0.00026545976137315463,-0.054672071242723885,-0.055237314453658426,2.00946,2.12298,0.5361561724766071,0.288655403135,2.490123619592888e-06,0.0004807853434899405,100,0.0006,0.9,0,0,0,0
105,GBPCAD,GBPSGD,2015.12.01,02:15,-0.05526717366746747,-0.000312440881790943,-0.05498459199948558,-0.05554967550560819,2.0094,2.12358,0.5312811014126051,0.257704444652,7.129832587882134e-07,0.00048145023883141446,100,0.0006,0.9,0,0,0,0
106,GBPCAD,GBPSGD,2015.12.01,02:30,-0.055309286252128165,-4.211258466069179e-05,-0.055026717892252774,-0.05559177478968025,2.00941,2.12368,0.5281760673177269,0.464937192398,2.797184454284007e-07,0.0004817149359159442,100,0.0006,0.9,0,0,0,0
107,GBPCAD,GBPSGD,2015.12.01,02:45,-0.055535833005654456,-0.00022654675352629106,-0.05525342424534052,-0.055818162033776986,2.01009,2.12488,0.5259374149511181,0.318414882821,8.481616993727403e-07,0.00048163018164343465,100,0.0006,0.9,0,0,0,0
108,GBPCAD,GBPSGD,2015.12.01,03:00,-0.05529610594078549,0.00023972706486896644,-0.05501367724038664,-0.05557845489773483,2.01043,2.12473,0.5267006247529213,0.692075564094,-2.1654988369523842e-06,0.0004821052743315264,100,0.0006,0.9,0,0,0,0
109,GBPCAD,GBPSGD,2015.12.01,03:15,-0.05466814948162779,0.0006279564591576969,-0.054385527881804174,-0.054950691229050275,2.01032,2.12328,0.5280869459493932,0.902710250991,2.5371274394525578e-06,0.00048214872297079587,100,0.0006,0.9,0,0,0,0
110,GBPCAD,GBPSGD,2015.12.01,03:30,-0.05533035984288659,-0.0006622103612587971,-0.055048057382157345,-0.05561258263142754,2.01126,2.12568,0.5264270444632877,0.0823493250721,1.1875508699907833e-05,0.00048514892399097604,100,0.0006,0.9,0,0,0,0
111,GBPCAD,GBPSGD,2015.12.01,03:45,-0.05523686021586005,9.349962702653869e-05,-0.054954577677394756,-0.05551906309338017,2.01159,2.12583,0.533449669716328,0.573016575596,3.4072107891258698e-06,0.0004894746560989388,100,0.0006,0.9,0,0,0,0
112,GBPCAD,GBPSGD,2015.12.01,04:00,-0.05548142525800648,-0.0002445650421464274,-0.05519916263899349,-0.055763608227314965,2.01124,2.12598,0.5357491779778756,0.308019465681,-6.098655114583628e-08,0.0004875726315693415,100,0.0006,0.9,0,0,0,0
113,GBPCAD,GBPSGD,2015.12.01,04:15,-0.05522669475916098,0.00025473049884550125,-0.05494433915864416,-0.05550897065749649,2.01109,2.12528,0.5347640684968703,0.698956523416,7.646678540906837e-07,0.00048708284033861755,100,0.0006,0.9,0,0,0,0
114,GBPCAD,GBPSGD,2015.12.01,04:30,-0.054828979627320695,0.0003977151318402816,-0.05454662402680388,-0.05511125552565621,2.01189,2.12528,0.5328601411289277,0.79029346709,3.926040332989933e-06,0.00048770078561353786,100,0.0006,0.9,0,0,0,0
115,GBPCAD,GBPSGD,2015.12.01,04:45,-0.05502445226074959,-0.00019547263342889476,-0.0547421630818421,-0.05530666177496457,2.01197,2.12578,0.5427924634894264,0.341709473815,3.114587787913514e-06,0.0004869695502330151,100,0.0006,0.9,0,0,0,0
116,GBPCAD,GBPSGD,2015.12.01,05:00,-0.055265351368604554,-0.00024089910785496382,-0.05498307547026904,-0.05554754760974201,2.01158,2.12588,0.5539531112481655,0.311108043177,-1.002631538915555e-06,0.00048688984372425063,100,0.0006,0.9,0,0,0,0
117,GBPCAD,GBPSGD,2015.12.01,05:15,-0.05519225599859778,7.309537000677047e-05,-0.05490987382068435,-0.05547455845932703,2.01097,2.12508,0.559412092914528,0.561001577284,-1.6916233054808938e-06,0.0004871829250560766,100,0.0006,0.9,0,0,0,0
